ID,theta_mean,theta_std,omega_mean,omega_std,r_mean,r_std,motor,age,gender,total_trials,success_rate,color_match_rate,num_match_rate,shape_match_rate,solved,num_unlock,unlock_time
D026,0.09645859516557537,0.03441265318088511,1.2245952674304676,0.26390359215111264,0.05726097856954632,0.05021201773055431,1.0,7.1,Boy,28,0.14285714285714285,0.25,0.14285714285714285,0.21428571428571427,0,4,300.0
D027,0.07285901374112493,0.02830888509247347,1.2223369706308809,0.26471791917726606,0.0412499950671187,0.0373052857895713,1.0,8.67,Girl,35,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.11428571428571428,0,3,300.0
D028,0.26782493407517416,0.07279178205636856,1.2091312566110186,0.23844535544982223,0.1447329460413615,0.1169264734932205,0.9,8.94,Boy,10,0.5,0.2,0.6,0.0,1,5,101.42
D029,0.6305806659186873,0.13984619742241478,1.506387684430895,0.9026851898918837,0.5076447990102634,0.2874727845167399,1.0,8.98,Boy,5,1.0,0.2,1.0,0.0,1,5,42.57
D030,0.03941529486341221,0.015700100825515276,1.2246363838220298,0.279125542329071,0.021269638441494595,0.01973788782750937,0.9859154929577465,7.52,Boy,71,0.04225352112676056,0.09859154929577464,0.056338028169014086,0.07042253521126761,0,3,300.0
D031,0.2113780306736453,0.06551328509547728,1.228002705349285,0.2640582655890509,0.11877186564926964,0.09777899343011087,0.8571428571428572,8.13,Girl,14,0.35714285714285715,0.14285714285714285,0.5,0.2857142857142857,1,5,166.23
D032,0.05520357311743989,0.022092638673740325,1.2290207234810742,0.2710983791158509,0.032849107613150366,0.029635015690382554,0.9782608695652174,9.4,Girl,46,0.06521739130434782,0.2608695652173913,0.08695652173913043,0.021739130434782608,0,3,300.0
D033,0.07279618391725758,0.027390930988586932,1.2229024447480443,0.26172727374313826,0.04011998495002541,0.0358148782639638,0.9722222222222222,7.26,Boy,36,0.08333333333333333,0.2777777777777778,0.1111111111111111,0.1388888888888889,0,3,300.0
D034,0.10938209825508276,0.03739943426393525,1.228259106950036,0.2792881446508153,0.06674958267029686,0.05703275578133734,1.0,9.6,Girl,27,0.18518518518518517,0.2222222222222222,0.18518518518518517,0.2222222222222222,1,5,171.42
D035,0.09129273677157286,0.03162146073470371,1.2255385984481153,0.2676255022089626,0.05440053348896653,0.04738576875146435,1.0,8.59,Girl,34,0.14705882352941177,0.23529411764705882,0.14705882352941177,0.14705882352941177,1,5,254.69
D036,0.08233215449587643,0.02882000127710676,1.2209384679529398,0.26005670461272307,0.04431670838545817,0.03939113417914845,0.975609756097561,8.73,Girl,41,0.12195121951219512,0.1951219512195122,0.14634146341463414,0.07317073170731707,1,5,280.19
D037,0.09592830024219778,0.03257249865041171,1.220494741597154,0.26108353386256905,0.053458853081911346,0.04672779905101995,0.9705882352941176,9.07,Girl,34,0.14705882352941177,0.2647058823529412,0.17647058823529413,0.08823529411764706,1,5,277.37
D038,0.07238626781228251,0.025980917132988147,1.2201191539921026,0.2600429730680277,0.0379355656660937,0.03371314393065797,0.9387755102040817,7.19,Girl,49,0.10204081632653061,0.08163265306122448,0.16326530612244897,0.08163265306122448,1,5,230.86
D039,0.1257949966820287,0.04118004632132406,1.2196554004124691,0.2631190336542757,0.07206093760608863,0.06221641628673371,1.0,10.28,Girl,24,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.08333333333333333,1,5,142.15
D040,0.08837978490180971,0.03051403184191589,1.2188700811460242,0.2633053490130572,0.048456104687220614,0.04267847937248986,1.0,7.28,Boy,37,0.13513513513513514,0.1891891891891892,0.13513513513513514,0.05405405405405406,1,5,182.92
D041,0.2074443115526819,0.06087317940557343,1.2194926888376585,0.25661030558302395,0.13021850290217776,0.10571157984566401,1.0,9.02,Boy,12,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.08333333333333333,1,5,151.11
D042,0.18214194127931427,0.05651686165586249,1.224550968381522,0.2667064550477723,0.11780055011839086,0.09831146769764706,1.0,10.97,Girl,14,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.2857142857142857,1,5,174.62
D043,0.07961734570548759,0.029601344229576113,1.216203782315411,0.2497538151943709,0.04129924093969673,0.037465208915831896,0.9705882352941176,7.6,Girl,34,0.08823529411764706,0.20588235294117646,0.11764705882352941,0.058823529411764705,0,3,300.0
D044,0.29211939253858277,0.07204977025834758,1.2150784868481708,0.2505501147020055,0.18750162128459172,0.14624486870570458,1.0,10.74,Boy,7,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.14285714285714285,1,5,109.45
D045,0.18160779927964762,0.05747433225582015,1.225964918941098,0.2680389412684572,0.11837072162966066,0.09918583641413095,1.0,9.24,Boy,14,0.35714285714285715,0.07142857142857142,0.35714285714285715,0.35714285714285715,1,5,169.76
D047,0.24997065702697796,0.06787309703398803,1.2180096030479686,0.25260462489489116,0.1619874037000356,0.12875675782088455,1.0,9.57,Girl,9,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.1111111111111111,1,5,101.52
D048,0.2731744317707479,0.0753841036578341,1.2128220966096872,0.24531399930357625,0.13806737952040896,0.11336092582633951,0.8181818181818181,9.89,Girl,11,0.45454545454545453,0.2727272727272727,0.6363636363636364,0.0,1,5,138.89
D049,0.07992519825963246,0.028583522686797102,1.2197268848167313,0.2636519854843858,0.045363027796021985,0.04044002321815969,1.0,7.75,Girl,36,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.08333333333333333,0,4,300.0
D050,0.16843319488286854,0.05200315969647039,1.2224669422300507,0.2574980066174214,0.10389136125896997,0.08651736079420766,1.0,10.51,Boy,16,0.3125,0.4375,0.3125,0.0625,1,5,155.72
D051,0.1430604276770569,0.04620420521348173,1.2236183918693877,0.26453747672466027,0.08559820699311431,0.07397541544398455,1.0,10.61,Boy,20,0.25,0.25,0.25,0.15,1,5,204.18
D052,0.10012185846637861,0.034850839531416856,1.2141523616883,0.25315840725726835,0.048964018853625314,0.04332635309609124,0.9166666666666666,8.65,Boy,36,0.1388888888888889,0.05555555555555555,0.2222222222222222,0.027777777777777776,1,5,219.31
D053,0.13257738763913135,0.043603460179113235,1.2194859729198164,0.25854931371790923,0.06950379578257232,0.06019301929808144,0.92,10.52,Girl,25,0.2,0.28,0.28,0.04,1,5,143.01
